"receptor" "pathway_id" "genes_in_cluster"
"Ccr3" "mmu05203" "Ywhaq,Tbp,Tbpl1,Snw1,Gtf2h2,Gtf2e2,Gtf2b,Rb1,Hdac2,Gtf2a2,Ikbkg,Cdc42,Rhoa,Polb"
"Ccr3" "mmu05203" "Ywhae,Ywhah,Ccne1,Vdac3,Cdk1,Gtf2e1,Ccnd1,Ccna2,Skp2,Psmc1,Rbl1,Hdac1,Cdk4,Cdc20,Mad1l1,Ranbp1"
"Ccr3" "mmu05203" "Stat5a,Pik3cd,Rela,Nfkb2,Trp53,Prkaca,Gtf2h4,Snd1,Mrps18b,Syk,Atp6v0d1,Bak1,Pkm,Kat2a,Vac14,Irf7,H2-Q10,H2-Q7,H2-T10"
"Ccr3" "mmu05203" "Stat5b,Pik3r2,Hist1h2bc"
"Ccr3" "mmu05203" "Sp100,Lyn,Hdac3,Hdac6,Irf9,Casp8,H2-T24,H2-T9"
"Ccr3" "mmu05203" "Hist1h2bk,Hist1h2bl,Irf3,H2-M3"
"Ccr3" "mmu05203" "Rbpj,Dnaja3,Gtf2a1"
"Il10rb" "mmu04060" "Cxcl1,Csf1,Il1rap"
"Il10rb" "mmu04060" "Cxcl2,Cxcl10,Cxcl16,Cxcl14,Ccl2,Ccl4,Ccl3,Ccl7,Ccl5,Ccl8,Ccl9,Clcf1,Tnf,Il1b,Il4ra,Csf2ra,Il2rg,Tnfrsf10b,Tnfrsf1b,Tnfrsf1a,Il17ra"
"Il10rb" "mmu04060" "Cxcl12,Il6st,Pdgfrb,Acvr1b"
"Il10rb" "mmu04060" "Ccl11,Vegfa,Bmp2,Il1r2"
"Il10rb" "mmu04060" "Ccl27a,Vegfb,Flt3l,Tgfb1,Il11ra1,Ifnar2,Il10rb,Tnfrsf21"
"Il10rb" "mmu04060" "Il6,Kitl,Il13ra1,Il15ra,Tnfrsf12a,Fas,Tgfbr1,Acvr2a,Bmpr2"
"Il10rb" "mmu04060" "Pdgfa,Tnfsf9,Ifngr2"
"Il10rb" "mmu04060" "Tnfsf12,Il3ra,Crlf2,Ltbr"
"Il10rb" "mmu04060" "Tnfsf13,Cxcr4,Tnfrsf14"
"Il10rb" "mmu04060" "Tgfb3,Lifr,Ifnar1,Ifngr1,Tgfbr2,Acvr1"
"Il10rb" "mmu04630" "Il6,Il15ra,Socs3,Socs5,Socs6,Mcl1,Stam,Ptpn2,Ptpn11,Raf1"
"Il10rb" "mmu04630" "Tslp,Ifnar2,Stat5b,Pias1,Pik3r2"
"Il10rb" "mmu04630" "Il2rg,Il3ra,Crlf2,Csf2ra,Stat5a,Pik3cd,Akt1"
"Il10rb" "mmu04630" "Il4ra,Ifngr2,Pim1"
"Il10rb" "mmu04630" "Il10rb,Il11ra1,Bcl2"
"Il10rb" "mmu04630" "Il13ra1,Il6st,Ifnar1,Jak1,Jak2,Stat1,Stat2,Stat3,Myc,Stam2,Irf9"
"Il10rb" "mmu04630" "Ifngr1,Lifr,Socs2,Socs4,Ep300,Pias2,Fhl1,Sos1,Sos2,Pik3ca,Pik3r1,Akt3"
"Il10rb" "mmu04630" "Tyk2,Crebbp,Pias3,Grb2"
"Il10rb" "mmu04630" "Stat6,Socs7,Bcl2l1,Ccnd1,Ccnd2,Mtor"
